title,price,rating,rating_distribution,link
Procesor AMD Ryzen 5 3500 3.6GHz box,"349,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-3500-36ghz-box/
Procesor AMD Ryzen 7 7800X3D 4.2GHz box,"1.964,99 RON",4.95,"{5: 20, 4: 1}",https://www.pcgarage.ro/procesoare/amd/ryzen-7-7800x3d-42ghz-box/
"Procesor Intel Alder Lake, Core i5 12400F 2.5GHz box","596,29 RON",4.86,"{5: 18, 4: 3}",https://www.pcgarage.ro/procesoare/intel/alder-lake-core-i5-12400f-25ghz-box/
"Procesor Intel Alder Lake, Core i5 12600KF 3.7GHz box","883,29 RON",5,{5: 7},https://www.pcgarage.ro/procesoare/intel/alder-lake-core-i5-12600kf-37ghz-box/
"Procesor Intel Raptor Lake Refresh, Core i7 14700K 3.4GHz box","2.179,99 RON",4.8,"{5: 4, 4: 1}",https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-core-i7-14700k-34ghz-box/
Procesor AMD Ryzen 5 7600 3.8GHz box,"1.079,99 RON",5,{5: 8},https://www.pcgarage.ro/procesoare/amd/ryzen-5-7600-38ghz-box/
Procesor AMD Ryzen 5 5500 3.6GHz box,"491,99 RON",4.91,"{5: 29, 4: 3}",https://www.pcgarage.ro/procesoare/amd/ryzen-5-5500-36ghz-box/
Procesor AMD Ryzen 5 7600X 4.7GHz box,"1.209,99 RON",5,{5: 12},https://www.pcgarage.ro/procesoare/amd/ryzen-5-7600x-47ghz-box/
"Procesor Intel Raptor Lake Refresh, Core i7 14700KF 3.4GHz box","2.029,99 RON",5,{5: 6},https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-core-i7-14700kf-34ghz-box/
"Procesor Intel Raptor Lake Refresh, Core i5 14600KF 3.5GHz box","1.579,99 RON",5,{5: 3},https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-core-i5-14600kf-35ghz-box/
"Procesor Intel Alder Lake, Core i5 12400 2.5GHz box","762,59 RON",5,{5: 7},https://www.pcgarage.ro/procesoare/intel/alder-lake-core-i5-12400-25ghz-box/
"Procesor Intel Raptor Lake Refresh, Core i5 14500 2.6GHz box","1.319,99 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-core-i5-14500-26ghz-box/
"Procesor Intel Raptor Lake Refresh, Core i9 14900K 3.2GHz box","3.149,99 RON",5,{5: 4},https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-core-i9-14900k-32ghz-box/
Procesor AMD Ryzen 7 5700 3.7GHz box,"779,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-7-5700-37ghz-box/
Procesor AMD Ryzen 5 5600 3.5GHz box,"749,99 RON",4.9,"{5: 38, 4: 2, 3: 1}",https://www.pcgarage.ro/procesoare/amd/ryzen-5-5600-35ghz-box/
"Procesor Intel Raptor Lake Refresh, Core i5 14400F 2.5GHz box","1.114,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-core-i5-14400f-25ghz-box/
